symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 10:01:00+00:00,750.56,750.56,750.5,750.5,370.0,15.0,750.550196
SPY,2026-08-03 10:02:00+00:00,750.48,750.49,750.48,750.49,126.0,5.0,750.485
SPY,2026-08-03 10:03:00+00:00,750.49,750.51,750.49,750.51,278.0,10.0,750.493738
SPY,2026-08-03 10:04:00+00:00,750.61,750.69,750.6,750.69,2278.0,29.0,750.624734
SPY,2026-08-03 10:05:00+00:00,750.61,750.61,750.61,750.61,149.0,7.0,750.61
SPY,2026-08-03 10:07:00+00:00,750.71,750.71,750.71,750.71,74.0,7.0,750.71
SPY,2026-08-03 10:08:00+00:00,750.6953,750.715,750.6953,750.6953,234.0,7.0,750.705574
SPY,2026-08-03 10:10:00+00:00,750.68,750.68,750.68,750.68,265.0,11.0,750.68
SPY,2026-08-03 10:11:00+00:00,750.82,750.82,750.8,750.81,305.0,13.0,750.81
SPY,2026-08-03 10:12:00+00:00,750.81,750.839,750.81,750.839,163.0,12.0,750.829074
SPY,2026-08-03 10:13:00+00:00,750.79,750.79,750.77,750.78,3074.0,37.0,750.784438
SPY,2026-08-03 10:14:00+00:00,750.75,750.75,750.7,750.75,936.0,14.0,750.743244
SPY,2026-08-03 10:15:00+00:00,750.76,750.82,750.75,750.8,423.0,15.0,750.79764
SPY,2026-08-03 10:16:00+00:00,750.8359,750.855,750.8359,750.855,228.0,12.0,750.847107
SPY,2026-08-03 10:17:00+00:00,750.79,750.79,750.79,750.79,118.0,10.0,750.79
SPY,2026-08-03 10:18:00+00:00,750.79,750.89,750.76,750.865,831.0,22.0,750.833344
SPY,2026-08-03 10:19:00+00:00,750.87,750.87,750.83,750.83,1564.0,15.0,750.833846
SPY,2026-08-03 10:20:00+00:00,750.81,750.85,750.74,750.74,731.0,18.0,750.821595
SPY,2026-08-03 10:21:00+00:00,750.71,750.75,750.61,750.61,1025.0,27.0,750.705275
SPY,2026-08-03 10:22:00+00:00,750.65,750.71,750.61,750.71,770.0,11.0,750.647366
SPY,2026-08-03 10:23:00+00:00,750.71,750.85,750.71,750.85,1717.0,34.0,750.778547
SPY,2026-08-03 10:24:00+00:00,750.75,750.76,750.68,750.68,358.0,12.0,750.743776
SPY,2026-08-03 10:25:00+00:00,750.79,750.8,750.71,750.76,1330.0,27.0,750.742363
SPY,2026-08-03 10:26:00+00:00,750.76,750.85,750.76,750.85,347.0,11.0,750.816312
SPY,2026-08-03 10:28:00+00:00,750.85,750.88,750.83,750.83,306.0,11.0,750.855728
SPY,2026-08-03 10:29:00+00:00,750.85,750.89,750.815,750.89,450.0,18.0,750.851892
SPY,2026-08-03 10:30:00+00:00,750.85,750.89,750.85,750.89,367.0,11.0,750.86589
SPY,2026-08-03 10:31:00+00:00,750.85,750.85,750.78,750.78,310.0,9.0,750.814861
SPY,2026-08-03 10:32:00+00:00,750.84,750.84,750.71,750.71,532.0,15.0,750.724167
SPY,2026-08-03 10:33:00+00:00,750.79,750.84,750.79,750.84,1482.0,20.0,750.801857
SPY,2026-08-03 10:34:00+00:00,750.9,750.9,750.9,750.9,604.0,18.0,750.9
SPY,2026-08-03 10:35:00+00:00,750.93,750.93,750.91,750.91,843.0,32.0,750.917722
SPY,2026-08-03 10:37:00+00:00,750.88,750.91,750.88,750.91,13239.0,48.0,750.896569
SPY,2026-08-03 10:38:00+00:00,750.95,750.98,750.95,750.97,398.0,16.0,750.968333
SPY,2026-08-03 10:39:00+00:00,750.94,751.03,750.9354,751.0,2234.0,47.0,750.98106
SPY,2026-08-03 10:40:00+00:00,751.0,751.02,750.99,751.0,2632.0,37.0,750.99608
SPY,2026-08-03 10:41:00+00:00,751.08,751.08,751.08,751.08,81.0,2.0,751.08
SPY,2026-08-03 10:42:00+00:00,751.05,751.05,751.05,751.05,139.0,14.0,751.05
SPY,2026-08-03 10:43:00+00:00,751.0,751.0,751.0,751.0,97.0,7.0,751.0
SPY,2026-08-03 10:44:00+00:00,751.07,751.09,751.07,751.09,1089.0,21.0,751.08
SPY,2026-08-03 10:46:00+00:00,751.0209,751.0209,751.0209,751.0209,138.0,5.0,751.0209
SPY,2026-08-03 10:47:00+00:00,751.0,751.06,751.0,751.01,5270.0,35.0,751.042559
SPY,2026-08-03 10:48:00+00:00,751.05,751.05,751.02,751.03,390.0,11.0,751.033056
SPY,2026-08-03 10:49:00+00:00,751.07,751.11,751.03,751.03,439.0,13.0,751.078027
SPY,2026-08-03 10:50:00+00:00,751.0,751.01,750.95,750.95,6987.0,73.0,750.996881
SPY,2026-08-03 10:51:00+00:00,751.01,751.02,750.95,751.0,257.0,6.0,750.99814
SPY,2026-08-03 10:55:00+00:00,751.05,751.05,751.05,751.05,162.0,8.0,751.05
SPY,2026-08-03 10:56:00+00:00,751.07,751.11,751.07,751.11,569.0,11.0,751.096957
SPY,2026-08-03 10:57:00+00:00,751.14,751.14,751.1,751.1,245.0,10.0,751.121176
SPY,2026-08-03 10:58:00+00:00,751.1,751.1,751.04,751.04,5055.0,38.0,751.045262
SPY,2026-08-03 10:59:00+00:00,751.08,751.12,751.0748,751.12,205.0,7.0,751.087789
SPY,2026-08-03 11:00:00+00:00,751.111,751.17,751.01,751.01,8014.0,320.0,751.105674
SPY,2026-08-03 11:01:00+00:00,750.98,750.98,750.86,750.88,2121.0,69.0,750.915605
SPY,2026-08-03 11:02:00+00:00,750.9,750.94,750.82,750.94,5019.0,83.0,750.847805
SPY,2026-08-03 11:03:00+00:00,750.95,750.95,750.8,750.95,1584.0,46.0,750.897201
SPY,2026-08-03 11:04:00+00:00,750.94,750.94,750.82,750.8962,1137.0,66.0,750.880707
SPY,2026-08-03 11:05:00+00:00,750.87,750.9,750.86,750.86,684.0,21.0,750.871765
SPY,2026-08-03 11:06:00+00:00,750.86,750.86,750.75,750.75,1386.0,77.0,750.816997
SPY,2026-08-03 11:07:00+00:00,750.58,750.696,750.58,750.675,1397.0,33.0,750.652841
SPY,2026-08-03 11:08:00+00:00,750.6501,750.6501,750.64,750.64,372.0,27.0,750.647575
